성별,계,,,,,,,,남자,,,,,,,,여자,,,,,,,
활동상태별,계,육아,가사,통학,연로,심신장애,그외,※ 취업준비,계,육아,가사,통학,연로,심신장애,그외,※ 취업준비,계,육아,가사,통학,연로,심신장애,그외,※ 취업준비
2000,14041,1771,4992,4335,1328,331,1285,0,4478,5,374,2274,634,216,975,0,9563,1765,4618,2061,694,115,310,0
2001,14097,1679,5123,4182,1287,379,1448,0,4541,6,393,2196,605,242,1100,0,9556,1673,4730,1986,682,137,348,0
2002,14032,1565,5240,4092,1279,414,1443,0,4475,6,344,2154,602,260,1110,0,9557,1559,4896,1938,677,154,334,0
2003,14368,1509,5154,3982,1649,452,1621,346,4565,3,103,2080,855,294,1230,193,9802,1506,5052,1902,793,158,391,153
2004,14228,1513,5184,3814,1512,468,1737,382,4550,3,131,2014,802,299,1301,214,9678,1510,5054,1800,710,169,436,169
2005,14401,1510,5155,3828,1450,471,1988,458,4663,5,112,2026,752,298,1471,253,9738,1505,5043,1802,698,172,518,205
2006,14608,1516,5195,3973,1429,467,2029,532,4804,4,142,2100,754,294,1511,297,9804,1512,5053,1873,675,173,519,234
2007,14829,1510,5304,4093,1400,447,2075,554,4894,5,136,2162,755,286,1550,321,9935,1505,5167,1932,645,161,525,234
2008,15225,1573,5402,4237,1492,439,2081,608,5098,9,141,2249,841,295,1563,347,10127,1564,5261,1988,651,144,518,261
2009,15719,1609,5569,4295,1587,451,2210,600,5279,7,146,2258,899,295,1674,330,10441,1602,5423,2037,688,156,536,271
2010,15868,1486,5771,4314,1664,445,2188,632,5357,5,157,2285,957,288,1665,348,10511,1481,5614,2029,707,157,524,284
2011,15998,1487,5874,4278,1604,419,2338,582,5399,4,143,2259,953,275,1766,327,10599,1482,5731,2019,651,143,572,255
2012,16076,1486,5976,4264,1737,393,2220,563,5423,5,141,2253,1087,250,1687,313,10653,1481,5835,2010,649,143,534,250
2013,16196,1483,5984,4301,1811,403,2214,569,5483,6,138,2256,1157,254,1672,301,10713,1476,5846,2045,655,149,542,267
2014,15959,1439,5861,4222,1903,424,2110,556,5382,6,124,2206,1183,259,1604,316,10578,1433,5737,2017,720,165,506,240
2015,16086,1442,5815,4082,2013,437,2297,603,5494,8,141,2129,1215,267,1733,316,10592,1434,5674,1954,797,170,564,288
2016,16187,1363,5866,4032,2122,447,2359,624,5565,8,153,2112,1252,276,1765,351,10622,1355,5712,1920,869,171,594,273
2017,16183,1266,5873,3941,2203,431,2469,669,5598,4,164,2048,1294,276,1811,384,10585,1262,5709,1893,909,154,658,285
