备盒喊(1),牢备(疙): 0-14技,牢备(疙): 15-64技,牢备(疙): 65技 捞惑,- 备己厚(%): 0-14技,- 备己厚(%): 15-64技,- 备己厚(%): 65技 捞惑
2000,9911229,33701986,3394896,21.1,71.7,7.2
2001,9852452,33946787,3570925,20.8,71.7,7.5
2002,9732348,34155443,3756945,20.4,71.7,7.9
2003,9584906,34367560,3939864,20,71.8,8.2
2004,9430513,34521703,4130303,19.6,71.8,8.6
2005,9223260,34640514,4320787,19.1,71.9,9
2006,8979585,34932893,4525814,18.5,72.1,9.3
2007,8714382,35208580,4760676,17.9,72.3,9.8
2008,8478823,35587293,4988592,17.3,72.5,10.2
2009,8229264,35901685,5176886,16.7,72.8,10.5
2010,7979439,36208564,5366109,16.1,73.1,10.8
2011,7771460,36649999,5515179,15.6,73.4,11
2012,7577231,36855893,5766729,15.1,73.4,11.5
2013,7392237,37013997,6022659,14.7,73.4,11.9
2014,7213693,37255840,6277126,14.2,73.4,12.4
2015,7029883,37443896,6541168,13.8,73.4,12.8
2016,6856319,37626546,6762842,13.4,73.4,13.2
2017,6751043,37619640,7075518,13.1,73.1,13.8
